School,UG/PG,Level,Unit Code,Sched unit ID,Moodle Unit Name,Block,Day,Time,Group,Unit Name,"Unit Name - Group Group, Block","Unit Name - Group Group, Block UG/PG Campus",Moodle Group Name,"MOODLE UPDATED? 
(BEAU)",Number of Sessions,,Unit Coordinator,Lecturer in Rapla,Room type,Room,"Open/
Closed",Campus,Reverse Hybrid (F2F/Online) or OSP,Comments - Academic Administration,Comments - PD,Forecast Numbers,Current Enrolments
BUS,UG,1,BBUS1000,15834,2026SS-BBUS1000,SS,Mon/Wed,8:30AM -  12:30PM,1,Academic Skills for Success,"Academic Skills for Success - Group 1, SS","Academic Skills for Success - Group 1, SS UG SYD/MEL",Group 1: Mon/Wed 8:30AM -  12:30PM SYD/MEL,,8,,,,Online ,Online 1,Closed,SYD/MEL,NO,,,,
ACC,UG,1,BBUS1001,15835,2026SS-BBUS1001,SS,Mon/Wed,01:00PM - 5:00PM,1,Accounting for Business Decisions,"Accounting for Business Decisions - Group 1, SS","Accounting for Business Decisions - Group 1, SS UG MEL",Group 1: Mon/Wed 01:00PM - 5:00PM MEL,,8,Ms Hannah Nguyen,Ms Hannah Nguyen,Ms Hannah Nguyen,Class,Room 4,Closed,MEL,NO,Class closed - 15.01.2026,,,
ACC,UG,1,BBUS1001,15836,2026SS-BBUS1001,SS,Mon/Wed,8:30AM - 12:30PM,1,Accounting for Business Decisions,"Accounting for Business Decisions - Group 1, SS","Accounting for Business Decisions - Group 1, SS UG SYD",Group 1: Mon/Wed 8:30AM - 12:30PM SYD,,8,Mr Son Nguyen,Mr Son Nguyen,Mr Son Nguyen,Class,"Level 4, Computer Lab 10",Closed,SYD,NO,Class closed - 15.01.2026,,,
ACC,UG,3,BACC3001,16556,2026SS-BACC3001,SS,Mon,12:00PM - 1:00PM,1,Auditing and Assurance Services,"Auditing and Assurance Services - Group 1, SS","Auditing and Assurance Services - Group 1, SS UG SYD",Group 1: Mon 12:00PM - 1:00PM SYD,,4,Mrs Yan Gao,Mrs Yan Gao,Mrs Yan Gao,Online ,Online 1,Open,SYD,NO,Self-directed for 2 students - 16.01.2026,,,
ISY,PG,4,MBIS4007,15837,2026SS-MBIS4007,SS,Tue/Thu,5:00PM -  9:00PM,1,Big Data and Visualisation,"Big Data and Visualisation - Group 1, SS","Big Data and Visualisation - Group 1, SS PG SYD",Group 1: Tue/Thu 5:00PM -  9:00PM SYD,,8,Dr Mao Lin Huang,Ms Najnin Nirjhar,Dr Mao Lin Huang,Class,"Level 3, Classroom 5",Open,SYD,NO,,,,
ISY,PG,5,MBIS5001,16560,2026SS-MBIS5001,SS,Tue,1:00PM - 3:00PM,1,Applied Data Analytics,"Applied Data Analytics - Group 1, SS","Applied Data Analytics - Group 1, SS PG SYD/MEL",Group 1: Tue 1:00PM - 3:00PM SYD/MEL,,4,Dr Adil Bilal,Dr Adil Bilal,Dr Adil Bilal,Online,Online 1,Open,SYD/MEL,NO,Self-directed for 2 students - 16.01.2026,,,
ISY,PG,5,MBIS5007,16561,2026SS-MBIS5007,SS,Tue,1:00PM - 3:00PM,1,Penetration Testing and Cloud Security,"Penetration Testing and Cloud Security - Group 1, SS","Penetration Testing and Cloud Security - Group 1, SS PG SYD/MEL",Group 1: Tue 1:00PM - 3:00PM SYD/MEL,,4,Dr David Hason Rudd,Dr David Hason Rudd,Dr David Hason Rudd,Online,Online 1,Open,SYD/MEL,NO,Self-directed for 3 students - 16.01.2026,,,
ISY,PG,5,MBIS5019,15838,2026SS-MBIS5019,SS,Tue/Thu,8:30AM -  12:30PM,1,Blockchain and Cryptocurrency,"Blockchain and Cryptocurrency - Group 1, SS","Blockchain and Cryptocurrency - Group 1, SS PG MEL",Group 1: Tue/Thu 8:30AM -  12:30PM MEL,,8,Dr Aruni Niroshika,Dr Nazim Uddin Sheikh,Dr Aruni Niroshika,Class,Room 6,Closed,MEL,NO,Class merged and closed - 15.01.2026,,,
ISY,PG,5,MBIS5019,15839,2026SS-MBIS5019,SS,Tue/Thu,8:30AM -  12:30PM,1,Blockchain and Cryptocurrency,"Blockchain and Cryptocurrency - Group 1, SS","Blockchain and Cryptocurrency - Group 1, SS PG SYD/MEL",Group 1: Tue/Thu 8:30AM -  12:30PM SYD/MEL,,8,Dr Nazim Uddin Sheikh,Dr Nazim Uddin Sheikh,Dr Nazim Uddin Sheikh,Online,Online 1,Open,SYD/MEL,NO,Class combined - 15.01.2026,,,
ISY,PG,5,MBIS5009,15840,2026SS-MBIS5009,SS,Tue/Thu,5:00PM -  9:00PM,1,Business Analytics,"Business Analytics - Group 1, SS","Business Analytics - Group 1, SS PG SYD/MEL",Group 1: Tue/Thu 5:00PM -  9:00PM SYD/MEL,,8,Dr Asghar Tabatabaei Balaei,Dr Asghar Tabatabaei Balaei,Dr Asghar Tabatabaei Balaei,Online,Online 1,Open,SYD/MEL,NO,Class combined - 14.01.2026,,,
